model,level,matches,accuracy,brier,log_loss,avg_prob_winner,avg_pick_prob
blend_60_40,atp_wta,19647,0.610526,0.231022,0.65327,0.534721,0.595976
blend_60_40,challenger,40652,0.61227,0.231491,0.654868,0.531523,0.590369
blend_60_40,grand_slam,6751,0.641535,0.220569,0.630509,0.544221,0.588833
blend_60_40,itf,159229,0.650616,0.216938,0.622964,0.553143,0.61109
blend_60_40,qualifying,711,0.655415,0.228057,0.648595,0.526184,0.55131
blend_70_30,atp_wta,19647,0.609253,0.230978,0.653157,0.535145,0.596786
blend_70_30,challenger,40652,0.610868,0.232109,0.656204,0.530834,0.589862
blend_70_30,grand_slam,6751,0.642571,0.220479,0.630239,0.544469,0.58811
blend_70_30,itf,159229,0.652099,0.216377,0.621685,0.554446,0.613336
blend_70_30,qualifying,711,0.659634,0.232616,0.658052,0.519965,0.540052
blend_80_20,atp_wta,19647,0.605996,0.231379,0.653973,0.535497,0.59888
blend_80_20,challenger,40652,0.60954,0.233096,0.65829,0.530093,0.590444
blend_80_20,grand_slam,6751,0.639016,0.220823,0.63083,0.544623,0.588464
blend_80_20,itf,159229,0.652607,0.215936,0.62066,0.555715,0.615768
blend_80_20,qualifying,711,0.652602,0.237731,0.668486,0.513635,0.529082
level_only,atp_wta,19647,0.599735,0.23344,0.658342,0.535993,0.606584
level_only,challenger,40652,0.596674,0.236135,0.664702,0.528474,0.594928
level_only,grand_slam,6751,0.631166,0.222761,0.634551,0.54466,0.593443
level_only,itf,159323,0.654256,0.21536,0.619289,0.55819,0.621109
level_only,qualifying,711,0.780591,0.2496,0.692346,0.500776,0.511216
sample_aware,atp_wta,19647,0.607726,0.231669,0.654585,0.534718,0.597737
sample_aware,challenger,40652,0.604521,0.233532,0.659134,0.529356,0.589577
sample_aware,grand_slam,6751,0.650867,0.221321,0.631907,0.543912,0.588855
sample_aware,itf,159229,0.653926,0.21563,0.61994,0.55626,0.616678
sample_aware,qualifying,711,0.663854,0.23249,0.657743,0.520338,0.540874
surface_only,atp_wta,19647,0.584924,0.24019,0.673332,0.530844,0.614033
surface_only,challenger,40652,0.59815,0.235138,0.66232,0.534466,0.611948
surface_only,grand_slam,6751,0.615168,0.229745,0.65005,0.540854,0.61041
surface_only,itf,159229,0.633295,0.222988,0.636156,0.544691,0.603142
surface_only,qualifying,711,0.661041,0.211222,0.610864,0.55986,0.616204
