model,level,min_level_matches,min_surface_matches,pick_prob_threshold,matches,accuracy,brier,log_loss,avg_pick_prob,avg_winner_prob
blend_80_20,atp_wta,10,5,0.5,12480,0.615144,0.228325,0.647293,0.618027,0.543733
blend_80_20,challenger,10,5,0.5,25318,0.612134,0.232579,0.657237,0.601009,0.53302
blend_80_20,grand_slam,10,5,0.5,3931,0.674637,0.209117,0.605368,0.61612,0.563601
blend_80_20,itf,10,5,0.5,95942,0.663943,0.212194,0.612475,0.630749,0.563624
blend_80_20,atp_wta,10,5,0.52,11066,0.627237,0.225555,0.641433,0.631792,0.549304
blend_80_20,challenger,10,5,0.52,22257,0.62277,0.230272,0.652475,0.613541,0.537455
blend_80_20,grand_slam,10,5,0.52,3425,0.693431,0.2032,0.592646,0.631783,0.572854
blend_80_20,itf,10,5,0.52,86850,0.679378,0.208271,0.6041,0.643389,0.570235
blend_80_20,atp_wta,10,5,0.55,9082,0.650297,0.220267,0.630241,0.653,0.559743
blend_80_20,challenger,10,5,0.55,17722,0.642422,0.225737,0.643095,0.633634,0.546193
blend_80_20,grand_slam,10,5,0.55,2707,0.725157,0.191905,0.568229,0.657543,0.590721
blend_80_20,itf,10,5,0.55,73494,0.703595,0.201087,0.588717,0.663121,0.582366
blend_80_20,atp_wta,10,5,0.57,7851,0.66552,0.216028,0.621224,0.667556,0.568114
blend_80_20,challenger,10,5,0.57,14887,0.659502,0.221601,0.634534,0.647678,0.553816
blend_80_20,grand_slam,10,5,0.57,2301,0.750109,0.182733,0.548351,0.674821,0.605017
blend_80_20,itf,10,5,0.57,65149,0.719689,0.195567,0.576836,0.676321,0.591704
blend_80_20,atp_wta,10,5,0.6,6140,0.689088,0.208367,0.604807,0.690594,0.583262
blend_80_20,challenger,10,5,0.6,11068,0.680972,0.215099,0.620948,0.669429,0.56659
blend_80_20,grand_slam,10,5,0.6,1836,0.783224,0.168838,0.517999,0.697693,0.626646
blend_80_20,itf,10,5,0.6,53288,0.744633,0.185941,0.555961,0.696705,0.608012
blend_80_20,atp_wta,10,5,0.62,5182,0.704168,0.202781,0.592729,0.70552,0.594306
blend_80_20,challenger,10,5,0.62,8885,0.694654,0.210329,0.610896,0.684088,0.576178
blend_80_20,grand_slam,10,5,0.62,1531,0.8145,0.155836,0.48951,0.715266,0.646314
blend_80_20,itf,10,5,0.62,45817,0.761333,0.178626,0.539925,0.710869,0.62052
blend_80_20,atp_wta,10,5,0.65,3849,0.72954,0.192395,0.570031,0.730067,0.614696
blend_80_20,challenger,10,5,0.65,6062,0.711646,0.203293,0.595838,0.707178,0.591754
blend_80_20,grand_slam,10,5,0.65,1165,0.848927,0.137968,0.449424,0.740762,0.674891
blend_80_20,itf,10,5,0.65,35766,0.786026,0.166614,0.513236,0.732295,0.641229
blend_80_20,atp_wta,10,5,0.67,3138,0.745061,0.185159,0.553967,0.745992,0.629075
blend_80_20,challenger,10,5,0.67,4570,0.726477,0.197133,0.582609,0.72261,0.604262
blend_80_20,grand_slam,10,5,0.67,987,0.860182,0.129732,0.430117,0.755331,0.689842
blend_80_20,itf,10,5,0.67,29850,0.804087,0.157377,0.492501,0.746645,0.656857
blend_80_20,atp_wta,10,5,0.7,2289,0.774137,0.171328,0.523158,0.768858,0.654098
blend_80_20,challenger,10,5,0.7,2831,0.75415,0.184927,0.556205,0.746348,0.627202
blend_80_20,grand_slam,10,5,0.7,737,0.880597,0.114784,0.394538,0.779107,0.716726
blend_80_20,itf,10,5,0.7,22134,0.827189,0.143873,0.4614,0.768275,0.680848
blend_80_20,atp_wta,10,5,0.72,1793,0.790853,0.162277,0.502425,0.785212,0.671836
blend_80_20,challenger,10,5,0.72,1959,0.765186,0.179217,0.543488,0.762764,0.641021
blend_80_20,grand_slam,10,5,0.72,600,0.898333,0.102906,0.366173,0.794747,0.737079
blend_80_20,itf,10,5,0.72,17599,0.842207,0.134243,0.438671,0.783319,0.698371
blend_80_20,atp_wta,10,5,0.75,1215,0.818107,0.146465,0.465591,0.809437,0.701514
blend_80_20,challenger,10,5,0.75,1083,0.7747,0.173315,0.529779,0.78587,0.659308
blend_80_20,grand_slam,10,5,0.75,430,0.897674,0.097486,0.349537,0.818172,0.756118
blend_80_20,itf,10,5,0.75,12142,0.862543,0.120098,0.404299,0.805391,0.72496
blend_80_20,atp_wta,10,5,0.8,588,0.862245,0.11795,0.396527,0.848519,0.754935
blend_80_20,challenger,10,5,0.8,293,0.836177,0.136519,0.444427,0.826226,0.720457
blend_80_20,grand_slam,10,5,0.8,254,0.929134,0.07296,0.286615,0.849096,0.800449
blend_80_20,itf,10,5,0.8,5685,0.900264,0.092399,0.334403,0.842021,0.775655
