api_player_key,raw_api_player_key,api_name,api_name_source,gender,mapping_status,today_match_count,opponent_name,opponents_today,tournament,event_names,event_type,event_type_types,candidate_count,candidate_margin,candidate_ambiguity,candidate_1_key,candidate_1_name,candidate_1_score,candidate_1_method,candidate_1_matches,candidate_2_key,candidate_2_name,candidate_2_score,candidate_2_method,candidate_2_matches,candidate_3_key,candidate_3_name,candidate_3_score,candidate_3_method,candidate_3_matches,best_candidate_key,best_candidate_name,score,margin,method,suggested_override_json,accept_candidate_rank,manual_sackmann_key,reject,review_note
women:api:84070,84070,A. Adeikyte,api_cache_short_name,women,ambiguous,1,Nika Hurkacz,Nika Hurkacz,W35 Bolszewo (Poland),W35 Bolszewo (Poland),Itf Women Singles,Itf Women Singles,2,0.000510,true,women:sackmann:267773,Anastasija Adeikyte,0.977609,exact_initial_form+country,4,women:sackmann:263655,Anastasija Adeikyte,0.977099,exact_initial_form+country,2,,,,,,women:sackmann:267773,Anastasija Adeikyte,0.977609,0.000510,exact_initial_form+country,,,,,
women:api:15341,15341,Amy Stevens,api_cache_full_name,women,ambiguous,1,M. K. Tikhonko,M. K. Tikhonko,W35 San Gregorio 4 (Italy),W35 San Gregorio 4 (Italy),Itf Women Singles,Itf Women Singles,2,0.001099,true,women:sackmann:264278,Alice Stevens,0.977792,exact_initial_form+country,5,women:sackmann:265599,Alfee Stevens,0.976693,exact_initial_form+country,1,,,,,,women:sackmann:264278,Alice Stevens,0.977792,0.001099,exact_initial_form+country,,,,,
men:api:662,662,Bruno Kuzuhara,api_cache_full_name,men,ambiguous,1,Alex Rybakov,Alex Rybakov,"M25 Tulsa, OK","M25 Tulsa, OK",Itf Men Singles,Itf Men Singles,2,0.000000,true,men:sackmann:210029,Bruno Kuzuhara,1.0,exact_normalized+country,14,men:sackmann:210044,Bruno Kuzuhara,1.0,exact_normalized+country,209,,,,,,men:sackmann:210029,Bruno Kuzuhara,1.0,0.000000,exact_normalized+country,,,,,
men:api:83545,83545,Jakub Vrba,api_cache_full_name,men,ambiguous,1,Noa Vukadin,Noa Vukadin,M25 Samobor (Croatia),M25 Samobor (Croatia),Itf Men Singles,Itf Men Singles,2,0.000000,true,men:sackmann:149107,Jakub Vrba ,1.0,exact_normalized+country,1,men:sackmann:213551,Jakub Vrba,1.0,exact_normalized+country,5,,,,,,men:sackmann:149107,Jakub Vrba ,1.0,0.000000,exact_normalized+country,,,,,
women:api:81646,81646,K. N. Kucikova,api_cache_short_name,women,ambiguous,1,Paula Ormaechea,Paula Ormaechea,W35 San Gregorio 4 (Italy),W35 San Gregorio 4 (Italy),Itf Women Singles,Itf Women Singles,2,0.001504,true,women:sackmann:266562,Kiara Nina Kucikova,0.937617,initial_surname+country,8,women:sackmann:264009,Kiara Nina Kucikova,0.936113,initial_surname+country,1,,,,,,women:sackmann:266562,Kiara Nina Kucikova,0.937617,0.001504,initial_surname+country,,,,,
women:api:55518,55518,M. Biro,api_cache_short_name,women,ambiguous,1,Safina Popa Giulia,Safina Popa Giulia,W15 Bucharest 2,W15 Bucharest 2,Itf Women Singles,Itf Women Singles,2,0.001386,true,women:sackmann:267406,Melinda Biro,0.978079,exact_initial_form+country,7,women:sackmann:267256,Melinda Biro,0.976693,exact_initial_form+country,1,,,,,,women:sackmann:267406,Melinda Biro,0.978079,0.001386,exact_initial_form+country,,,,,
women:api:58205,58205,N. Lee,api_cache_short_name,women,ambiguous,1,Mariia Masiianskaia,Mariia Masiianskaia,W15 Kursumlijska Banja 5,W15 Kursumlijska Banja 5,Itf Women Singles,Itf Women Singles,2,0.008901,true,women:sackmann:270052,Nancy Lee,0.976693,exact_initial_form+country,1,women:sackmann:264117,Nayoung Lee,0.967792,exact_initial_form+country_mismatch,5,,,,,,women:sackmann:270052,Nancy Lee,0.976693,0.008901,exact_initial_form+country,,,,,
women:api:89210,89210,R. Yoshida,api_cache_short_name,women,ambiguous,1,S. Y. Choi,S. Y. Choi,W15 Sapporo,W15 Sapporo,Itf Women Singles,Itf Women Singles,2,0.000000,true,women:sackmann:267680,Riyo Yoshida,0.976693,exact_initial_form+country,1,women:sackmann:269880,Rena Yoshida,0.976693,exact_initial_form+country,1,,,,,,women:sackmann:267680,Riyo Yoshida,0.976693,0.000000,exact_initial_form+country,,,,,
women:api:54661,54661,Shiyu Ye,api_cache_full_name,women,ambiguous,1,Evialina Laskevich,Evialina Laskevich,W35 Zhengzhou (China),W35 Zhengzhou (China),Itf Women Singles,Itf Women Singles,2,0.016921,false,women:sackmann:264085,Shiyu Ye,0.995,exact_normalized+country_mismatch,72,women:sackmann:270205,Sarah Ye,0.978079,exact_initial_form+country,7,,,,,,women:sackmann:264085,Shiyu Ye,0.995,0.016921,exact_normalized+country_mismatch,"{""women:api:54661"": ""women:sackmann:264085""}",,,,
women:api:7926,7926,Yuyun Chen,api_cache_full_name,women,ambiguous,1,Camille Allegre,Camille Allegre,"W15 Irvine, CA","W15 Irvine, CA",Itf Women Singles,Itf Women Singles,6,0.015566,false,women:sackmann:260555,Yuyun Chen,0.995,exact_normalized+country_mismatch,15,women:sackmann:266372,Yiru Chen,0.979434,exact_initial_form+country,30,women:sackmann:264210,Yiran Chen,0.977386,exact_initial_form+country,3,women:sackmann:260555,Yuyun Chen,0.995,0.015566,exact_normalized+country_mismatch,"{""women:api:7926"": ""women:sackmann:260555""}",,,,
